project,file,class,method,methodSignature,line,eligible,discardReasons,ccBefore,ccAfter,delta,outerCondition,innerCondition
ant,org/apache/tools/ant/AntClassLoader.java,AntClassLoader,initializeClass,void initializeClass(Class<?>),610,YES,,7,4,-3,cons != null,cons.length > 0 && cons[0] != null
ant,org/apache/tools/ant/filters/ConcatFilter.java,ConcatFilter,read,int read(),116,YES,,11,9,-2,ch == -1,appendReader != null
ant,org/apache/tools/ant/filters/HeadFilter.java,HeadFilter,headFilter,String headFilter(String),206,YES,,6,4,-2,skip > 0,(linesRead - 1) < skip
ant,org/apache/tools/ant/filters/HeadFilter.java,HeadFilter,headFilter,String headFilter(String),212,YES,,6,4,-2,lines > 0,linesRead > (lines + skip)
ant,org/apache/tools/ant/filters/StripJavaComments.java,StripJavaComments,read,int read(),96,YES,,57,48,-9,!inString,ch == '/'
ant,org/apache/tools/ant/taskdefs/Available.java,Available,eval,boolean eval(),269,YES,,18,17,-1,type != null,file == null
ant,org/apache/tools/ant/taskdefs/PathConvert.java,PathConvert,setDest,void setDest(Resource),365,YES,,3,2,-1,dest != null,this.dest != null
ant,org/apache/tools/ant/taskdefs/optional/junit/JUnitTask.java,JUnitTask,createClassLoader,void createClassLoader(),1947,YES,,19,14,-5,userClasspath != null || userModulepath != null,reloading || classLoader == null
ant,org/apache/tools/ant/types/resources/URLResource.java,URLResource,getURL,URL getURL(),148,YES,,10,7,-3,url == null,baseURL != null
ant,org/apache/tools/tar/TarBuffer.java,TarBuffer,readBlock,boolean readBlock(),290,YES,,13,11,-2,numBytes != blockSize,debug
bytecode-viewer,the/bytecode/club/bytecodeviewer/BytecodeViewer.java,BytecodeViewer,boot,void boot(boolean),297,YES,,13,11,-2,!cli,launchArgs.length >= 1
bytecode-viewer,the/bytecode/club/bytecodeviewer/malwarescanner/MalwareCodeScanner.java,MalwareCodeScanner,scanMethods,"void scanMethods(MalwareScan, ClassNode, MethodNode[])",85,YES,,10,7,-3,instruction instanceof LdcInsnNode,((LdcInsnNode) instruction).cst instanceof String
bytecode-viewer,the/bytecode/club/bytecodeviewer/plugin/preinstalled/ReplaceStrings.java,ReplaceStrings,scanClassNode,void scanClassNode(ClassNode),132,YES,,63,57,-6,a instanceof LdcInsnNode,((LdcInsnNode) a).cst instanceof String
bytecode-viewer,the/bytecode/club/bytecodeviewer/plugin/preinstalled/ShowAllStrings.java,ShowAllStrings,execute,void execute(List<ClassNode>),83,YES,,42,37,-5,a instanceof LdcInsnNode,((LdcInsnNode) a).cst instanceof String
cybercaptor,org/fiware/cybercaptor/server/attackgraph/Vertex.java,Vertex,getRelatedMachine,InformationSystemHost getRelatedMachine(InformationSystem),136,YES,,52,38,-14,this.fact != null,this.fact.type == Fact.FactType.DATALOG_FACT && this.fact.datalogCommand != null
