caseId,origin,description,eligible,discardReason,discardCategories,opportunitiesDetected,opportunitiesApplied,totalPasses,complexityBefore,complexityAfter,delta,methodSignature,observations
ANT_ANT_CLASS_LOADER_INITIALIZE_CLASS,ant-1.10.14,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,7,4,-3,void initializeClass(Class<?>),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
ANT_AVAILABLE_EVAL,ant-1.10.14,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF;OUTER_HAS_ELSE,1,1,1,18,17,-1,boolean eval(),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
ANT_CONCAT_FILTER_READ,ant-1.10.14,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,1,1,1,11,9,-2,int read(),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
ANT_HEAD_FILTER_HEAD_FILTER,ant-1.10.14,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS,2,2,2,6,4,-2,String headFilter(String),Pases hasta punto fijo: 2. Transformaciones aplicadas: 2. [Nota: se requirieron múltiples pases por anidamiento profundo]
ANT_J_UNIT_TASK_CREATE_CLASS_LOADER,ant-1.10.14,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,1,1,1,19,14,-5,void createClassLoader(),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
ANT_PATH_CONVERT_SET_DEST,ant-1.10.14,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,SINGLE_STATEMENT_NOT_IF,1,1,1,3,2,-1,void setDest(Resource),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
ANT_STRIP_JAVA_COMMENTS_READ,ant-1.10.14,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_HAS_ELSE;OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,57,48,-9,int read(),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
ANT_TAR_BUFFER_READ_BLOCK,ant-1.10.14,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,13,11,-2,boolean readBlock(),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
ANT_U_R_L_RESOURCE_GET_U_R_L,ant-1.10.14,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,10,7,-3,URL getURL(),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
BYTECODE_VIEWER_BYTECODE_VIEWER_BOOT,bytecode-viewer-2.11.2,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,1,1,1,13,11,-2,void boot(boolean),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
