caseId,model,modelVersion,promptVersion,attemptNumber,verdict,verdictReason,parseable,complexityBefore,complexityAfter,delta,baselineDelta,matchesBaseline,executionTimestamp,responseTimeMs,validationErrors,observations
PILOT_INVALID_ELSE_BRANCH,gpt-4o,gpt-4o,v1.0,1,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,4,4,0,0,true,2026-06-02T15:26:27.486508100Z,911,,
PILOT_INVALID_ELSE_BRANCH,gpt-4o,gpt-4o,v1.0,2,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,4,4,0,0,true,2026-06-02T15:26:28.413898900Z,524,,
PILOT_INVALID_ELSE_BRANCH,gpt-4o,gpt-4o,v1.0,3,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,4,4,0,0,true,2026-06-02T15:26:28.938335500Z,480,,
PILOT_INVALID_METHOD_GUARD,gpt-4o,gpt-4o,v1.0,1,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,3,3,0,0,true,2026-06-02T15:26:29.419331400Z,745,,
PILOT_INVALID_METHOD_GUARD,gpt-4o,gpt-4o,v1.0,2,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,3,3,0,0,true,2026-06-02T15:26:30.164505800Z,472,,
PILOT_INVALID_METHOD_GUARD,gpt-4o,gpt-4o,v1.0,3,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,3,3,0,0,true,2026-06-02T15:26:30.636595600Z,500,,
PILOT_INVALID_MULTI_STMT,gpt-4o,gpt-4o,v1.0,1,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,3,3,0,0,true,2026-06-02T15:26:31.137244Z,548,,
PILOT_INVALID_MULTI_STMT,gpt-4o,gpt-4o,v1.0,2,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,3,3,0,0,true,2026-06-02T15:26:31.685486300Z,489,,
PILOT_INVALID_MULTI_STMT,gpt-4o,gpt-4o,v1.0,3,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,3,3,0,0,true,2026-06-02T15:26:32.175298700Z,653,,
PILOT_MIXED_OPPORTUNITIES,gpt-4o,gpt-4o,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,5,-1,-1,true,2026-06-02T15:26:32.829262300Z,2272,,
PILOT_MIXED_OPPORTUNITIES,gpt-4o,gpt-4o,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,5,-1,-1,true,2026-06-02T15:26:35.101755600Z,2395,,
PILOT_MIXED_OPPORTUNITIES,gpt-4o,gpt-4o,v1.0,3,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,5,-1,-1,true,2026-06-02T15:26:37.496761700Z,2629,,
PILOT_VALID_BOUNDS_CHECK,gpt-4o,gpt-4o,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,4,2,-2,-2,true,2026-06-02T15:26:40.126145300Z,1487,,
PILOT_VALID_BOUNDS_CHECK,gpt-4o,gpt-4o,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,4,2,-2,-2,true,2026-06-02T15:26:41.613391400Z,1796,,
PILOT_VALID_BOUNDS_CHECK,gpt-4o,gpt-4o,v1.0,3,SUCCESS,"Refactorización correcta, coincide con baseline",true,4,2,-2,-2,true,2026-06-02T15:26:43.410288100Z,1803,,
PILOT_VALID_NESTED_IN_LOOP,gpt-4o,gpt-4o,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,4,-2,-2,true,2026-06-02T15:26:45.213721900Z,2074,,
PILOT_VALID_NESTED_IN_LOOP,gpt-4o,gpt-4o,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,4,-2,-2,true,2026-06-02T15:26:47.288262500Z,1917,,
PILOT_VALID_NESTED_IN_LOOP,gpt-4o,gpt-4o,v1.0,3,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,4,-2,-2,true,2026-06-02T15:26:49.221817300Z,1688,,
PILOT_VALID_NULL_CHECK,gpt-4o,gpt-4o,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-06-02T15:26:50.909844Z,1964,,
PILOT_VALID_NULL_CHECK,gpt-4o,gpt-4o,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-06-02T15:26:52.890322500Z,1685,,
PILOT_VALID_NULL_CHECK,gpt-4o,gpt-4o,v1.0,3,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-06-02T15:26:54.576429100Z,2029,,
PILOT_VALID_SIMPLE,gpt-4o,gpt-4o,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-06-02T15:26:56.606273Z,1590,,
PILOT_VALID_SIMPLE,gpt-4o,gpt-4o,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-06-02T15:26:58.196789300Z,1511,,
PILOT_VALID_SIMPLE,gpt-4o,gpt-4o,v1.0,3,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-06-02T15:26:59.708560400Z,1822,,
ANT_ANT_CLASS_LOADER_INITIALIZE_CLASS,gpt-4o,gpt-4o,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,7,4,-3,-3,true,2026-06-02T15:27:01.531535200Z,4373,,
