caseId,model,modelVersion,promptVersion,attemptNumber,verdict,verdictReason,parseable,complexityBefore,complexityAfter,delta,baselineDelta,matchesBaseline,executionTimestamp,responseTimeMs,validationErrors,observations
PILOT_VALID_SIMPLE,gpt-4o,gpt-4o-2024-05-13,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-04-19T19:19:55.386393700Z,0,,
PILOT_VALID_SIMPLE,gpt-4o,gpt-4o-2024-05-13,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-04-19T19:19:55.394393900Z,0,,
PILOT_VALID_SIMPLE,gpt-4o,gpt-4o-2024-05-13,v1.0,3,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-04-19T19:19:55.397393700Z,0,,
PILOT_VALID_NESTED_IN_LOOP,gpt-4o,gpt-4o-2024-05-13,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,4,-2,-2,true,2026-04-19T19:19:55.398394200Z,0,,
PILOT_VALID_NESTED_IN_LOOP,gpt-4o,gpt-4o-2024-05-13,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,4,-2,-2,true,2026-04-19T19:19:55.400393500Z,0,,
PILOT_VALID_NESTED_IN_LOOP,gpt-4o,gpt-4o-2024-05-13,v1.0,3,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,4,-2,-2,true,2026-04-19T19:19:55.402394500Z,0,,
REAL_COMMONS_MATH_CONVERGED,gpt-4o,gpt-4o-2024-05-13,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-04-19T19:19:55.404394400Z,0,,
REAL_COMMONS_MATH_CONVERGED,gpt-4o,gpt-4o-2024-05-13,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-04-19T19:19:55.405394200Z,0,,
REAL_COMMONS_MATH_CONVERGED,gpt-4o,gpt-4o-2024-05-13,v1.0,3,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-04-19T19:19:55.406393200Z,0,,
REAL_ANT_MATCH_PATH,gpt-4o,gpt-4o-2024-05-13,v1.0,1,SUCCESS,Reducción mayor que baseline (delta=-4 vs baseline=-2),true,6,2,-4,-2,false,2026-04-19T19:19:55.408393500Z,0,,
REAL_ANT_MATCH_PATH,gpt-4o,gpt-4o-2024-05-13,v1.0,2,SUCCESS,Reducción mayor que baseline (delta=-4 vs baseline=-2),true,6,2,-4,-2,false,2026-04-19T19:19:55.412394400Z,0,,
REAL_ANT_MATCH_PATH,gpt-4o,gpt-4o-2024-05-13,v1.0,3,SUCCESS,Reducción mayor que baseline (delta=-4 vs baseline=-2),true,6,2,-4,-2,false,2026-04-19T19:19:55.414393400Z,0,,
REAL_COMMONS_MATH_VALIDATE_RANGE,gpt-4o,gpt-4o-2024-05-13,v1.0,1,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,4,4,0,0,true,2026-04-19T19:19:55.415396Z,0,,
REAL_COMMONS_MATH_VALIDATE_RANGE,gpt-4o,gpt-4o-2024-05-13,v1.0,2,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,4,4,0,0,true,2026-04-19T19:19:55.415396Z,0,,
REAL_COMMONS_MATH_VALIDATE_RANGE,gpt-4o,gpt-4o-2024-05-13,v1.0,3,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,4,4,0,0,true,2026-04-19T19:19:55.415396Z,0,,
REAL_COMMONS_COLLECTIONS_GET,gpt-4o,gpt-4o-2024-05-13,v1.0,1,INCORRECT,Caso inelegible según baseline transformado por el LLM (delta=-1),true,3,2,-1,0,false,2026-04-19T19:19:55.415396Z,0,,
REAL_COMMONS_COLLECTIONS_GET,gpt-4o,gpt-4o-2024-05-13,v1.0,2,INCORRECT,Caso inelegible según baseline transformado por el LLM (delta=-1),true,3,2,-1,0,false,2026-04-19T19:19:55.417396900Z,0,,
REAL_COMMONS_COLLECTIONS_GET,gpt-4o,gpt-4o-2024-05-13,v1.0,3,INCORRECT,Caso inelegible según baseline transformado por el LLM (delta=-1),true,3,2,-1,0,false,2026-04-19T19:19:55.418397500Z,0,,
PILOT_VALID_SIMPLE,claude-3.5-sonnet,claude-3-5-sonnet-20241022,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-04-19T19:19:55.419396900Z,0,,
PILOT_VALID_SIMPLE,claude-3.5-sonnet,claude-3-5-sonnet-20241022,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-04-19T19:19:55.420396900Z,0,,
PILOT_VALID_SIMPLE,claude-3.5-sonnet,claude-3-5-sonnet-20241022,v1.0,3,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-04-19T19:19:55.421396500Z,0,,
PILOT_VALID_NESTED_IN_LOOP,claude-3.5-sonnet,claude-3-5-sonnet-20241022,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,4,-2,-2,true,2026-04-19T19:19:55.422396Z,0,,
PILOT_VALID_NESTED_IN_LOOP,claude-3.5-sonnet,claude-3-5-sonnet-20241022,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,4,-2,-2,true,2026-04-19T19:19:55.424396400Z,0,,
PILOT_VALID_NESTED_IN_LOOP,claude-3.5-sonnet,claude-3-5-sonnet-20241022,v1.0,3,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,4,-2,-2,true,2026-04-19T19:19:55.426396700Z,0,,
REAL_COMMONS_MATH_CONVERGED,claude-3.5-sonnet,claude-3-5-sonnet-20241022,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-04-19T19:19:55.427396700Z,0,,
REAL_COMMONS_MATH_CONVERGED,claude-3.5-sonnet,claude-3-5-sonnet-20241022,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-04-19T19:19:55.428397200Z,0,,
REAL_COMMONS_MATH_CONVERGED,claude-3.5-sonnet,claude-3-5-sonnet-20241022,v1.0,3,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-04-19T19:19:55.429397Z,0,,
REAL_ANT_MATCH_PATH,claude-3.5-sonnet,claude-3-5-sonnet-20241022,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,4,-2,-2,true,2026-04-19T19:19:55.430396600Z,0,,
REAL_ANT_MATCH_PATH,claude-3.5-sonnet,claude-3-5-sonnet-20241022,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,4,-2,-2,true,2026-04-19T19:19:55.431465900Z,0,,
REAL_ANT_MATCH_PATH,claude-3.5-sonnet,claude-3-5-sonnet-20241022,v1.0,3,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,4,-2,-2,true,2026-04-19T19:19:55.432466600Z,0,,
REAL_COMMONS_MATH_VALIDATE_RANGE,claude-3.5-sonnet,claude-3-5-sonnet-20241022,v1.0,1,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,4,4,0,0,true,2026-04-19T19:19:55.433465700Z,0,,
REAL_COMMONS_MATH_VALIDATE_RANGE,claude-3.5-sonnet,claude-3-5-sonnet-20241022,v1.0,2,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,4,4,0,0,true,2026-04-19T19:19:55.433465700Z,0,,
REAL_COMMONS_MATH_VALIDATE_RANGE,claude-3.5-sonnet,claude-3-5-sonnet-20241022,v1.0,3,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,4,4,0,0,true,2026-04-19T19:19:55.433465700Z,0,,
REAL_COMMONS_COLLECTIONS_GET,claude-3.5-sonnet,claude-3-5-sonnet-20241022,v1.0,1,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,3,3,0,0,true,2026-04-19T19:19:55.433465700Z,0,,
REAL_COMMONS_COLLECTIONS_GET,claude-3.5-sonnet,claude-3-5-sonnet-20241022,v1.0,2,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,3,3,0,0,true,2026-04-19T19:19:55.433465700Z,0,,
REAL_COMMONS_COLLECTIONS_GET,claude-3.5-sonnet,claude-3-5-sonnet-20241022,v1.0,3,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,3,3,0,0,true,2026-04-19T19:19:55.433465700Z,0,,
