caseId,origin,description,eligible,discardReason,discardCategories,opportunitiesDetected,opportunitiesApplied,totalPasses,complexityBefore,complexityAfter,delta,methodSignature,observations
PILOT_INVALID_ELSE_BRANCH,synthetic-realistic,If externo con else — no combinable por precondición P1,false,"Descartado por: OUTER_HAS_ELSE, SINGLE_STATEMENT_NOT_IF",OUTER_HAS_ELSE;SINGLE_STATEMENT_NOT_IF,0,0,0,4,4,0,"void classifyValue(int, int)",Sin oportunidades detectadas
PILOT_INVALID_METHOD_GUARD,synthetic-realistic,Guarda con llamada a método en condición — rechazado por P5 (side effects),true,,SINGLE_STATEMENT_NOT_IF,1,1,1,3,2,-1,"void processIfNotEmpty(String, int)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
PILOT_INVALID_MULTI_STMT,synthetic-realistic,Bloque externo con declaración + if anidado — rechazado por P2,false,"Descartado por: OUTER_BLOCK_MULTIPLE_STATEMENTS, SINGLE_STATEMENT_NOT_IF",OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,0,0,0,3,3,0,"void computeWithLocal(int, int)",Sin oportunidades detectadas
PILOT_MIXED_OPPORTUNITIES,synthetic-realistic,Método con un patrón combinable y otro no combinable,true,,SINGLE_STATEMENT_NOT_IF,2,2,2,6,4,-2,"void mixedPatterns(int, int, String)",Pases hasta punto fijo: 2. Transformaciones aplicadas: 2. [Nota: se requirieron múltiples pases por anidamiento profundo]
PILOT_VALID_BOUNDS_CHECK,synthetic-realistic,Doble comprobación de límites inferior y superior — validación de índice,true,,SINGLE_STATEMENT_NOT_IF,1,1,1,4,2,-2,"void checkBounds(int[], int)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
PILOT_VALID_NESTED_IN_LOOP,synthetic-realistic,Filtrado condicional dentro de bucle — patrón de procesamiento de colecciones,true,,SINGLE_STATEMENT_NOT_IF,1,1,1,6,4,-2,"void filterAndProcess(int[], int)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
PILOT_VALID_NULL_CHECK,synthetic-realistic,Guarda null seguida de comprobación de propiedad — patrón frecuente en Java,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,3,2,-1,void processArray(int[]),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
PILOT_VALID_SIMPLE,synthetic-realistic,Validación de rango de entrada — patrón canónico if-if sin else,true,,SINGLE_STATEMENT_NOT_IF,1,1,1,3,2,-1,"void processIfInRange(int, int)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
ANT_ANT_CLASS_LOADER_INITIALIZE_CLASS,ant-1.10.14,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,7,4,-3,void initializeClass(Class<?>),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
ANT_AVAILABLE_EVAL,ant-1.10.14,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF;OUTER_HAS_ELSE,1,1,1,18,17,-1,boolean eval(),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
ANT_CONCAT_FILTER_READ,ant-1.10.14,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,1,1,1,11,9,-2,int read(),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
REAL_ANT_EXECUTE_TASK,ant-1.10.12,Método con if anidado y múltiples sentencias en bloque externo — no elegible por P2,false,"Descartado por: OUTER_BLOCK_MULTIPLE_STATEMENTS, SINGLE_STATEMENT_NOT_IF",OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,0,0,0,3,3,0,"void executeTask(boolean, boolean, String)",Sin oportunidades detectadas
ANT_HEAD_FILTER_HEAD_FILTER,ant-1.10.14,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS,2,2,2,6,4,-2,String headFilter(String),Pases hasta punto fijo: 2. Transformaciones aplicadas: 2. [Nota: se requirieron múltiples pases por anidamiento profundo]
ANT_J_UNIT_TASK_CREATE_CLASS_LOADER,ant-1.10.14,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,1,1,1,19,14,-5,void createClassLoader(),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
REAL_ANT_MATCH_PATH,ant-1.10.12,Método con if anidado triple — elegible parcial (P5 rechaza tercer nivel por method call),true,,SINGLE_STATEMENT_NOT_IF,2,2,2,6,2,-4,"boolean matchPath(String, String, boolean)",Pases hasta punto fijo: 2. Transformaciones aplicadas: 2. [Nota: se requirieron múltiples pases por anidamiento profundo]
ANT_PATH_CONVERT_SET_DEST,ant-1.10.14,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,SINGLE_STATEMENT_NOT_IF,1,1,1,3,2,-1,void setDest(Resource),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
REAL_ANT_SCAN_ENABLED,ant-1.10.12,"Método con doble guarda null + flag booleano — elegible, patrón de activación condicional",true,,SINGLE_STATEMENT_NOT_IF,1,1,1,3,2,-1,"void scan(java.io.File, boolean, String[])",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
ANT_STRIP_JAVA_COMMENTS_READ,ant-1.10.14,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_HAS_ELSE;OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,57,48,-9,int read(),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
ANT_TAR_BUFFER_READ_BLOCK,ant-1.10.14,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,13,11,-2,boolean readBlock(),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
ANT_U_R_L_RESOURCE_GET_U_R_L,ant-1.10.14,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,10,7,-3,URL getURL(),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
BYTECODE_VIEWER_BYTECODE_VIEWER_BOOT,bytecode-viewer-2.11.2,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,1,1,1,13,11,-2,void boot(boolean),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
BYTECODE_VIEWER_MALWARE_CODE_SCANNER_SCAN_METHODS,bytecode-viewer-2.11.2,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,10,7,-3,"void scanMethods(MalwareScan, ClassNode, MethodNode[])",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
BYTECODE_VIEWER_REPLACE_STRINGS_SCAN_CLASS_NODE,bytecode-viewer-2.11.2,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;OUTER_HAS_ELSE;SINGLE_STATEMENT_NOT_IF,1,1,1,63,57,-6,void scanClassNode(ClassNode),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
BYTECODE_VIEWER_SHOW_ALL_STRINGS_EXECUTE,bytecode-viewer-2.11.2,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,1,1,1,42,37,-5,void execute(List<ClassNode>),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
