caseId,model,modelVersion,promptVersion,attemptNumber,verdict,verdictReason,parseable,complexityBefore,complexityAfter,delta,baselineDelta,matchesBaseline,executionTimestamp,responseTimeMs,validationErrors,observations
PILOT_INVALID_ELSE_BRANCH,gpt-4o,gpt-4o,v1.0,1,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,4,4,0,0,true,2026-06-03T15:36:14.596282700Z,2095,,
PILOT_INVALID_ELSE_BRANCH,gpt-4o,gpt-4o,v1.0,2,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,4,4,0,0,true,2026-06-03T15:36:16.691478700Z,1026,,
PILOT_INVALID_ELSE_BRANCH,gpt-4o,gpt-4o,v1.0,3,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,4,4,0,0,true,2026-06-03T15:36:17.718111500Z,768,,
PILOT_INVALID_METHOD_GUARD,gpt-4o,gpt-4o,v1.0,1,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,3,3,0,0,true,2026-06-03T15:36:18.487055500Z,643,,
PILOT_INVALID_METHOD_GUARD,gpt-4o,gpt-4o,v1.0,2,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,3,3,0,0,true,2026-06-03T15:36:19.130228700Z,588,,
PILOT_INVALID_METHOD_GUARD,gpt-4o,gpt-4o,v1.0,3,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,3,3,0,0,true,2026-06-03T15:36:19.718771800Z,506,,
PILOT_INVALID_MULTI_STMT,gpt-4o,gpt-4o,v1.0,1,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,3,3,0,0,true,2026-06-03T15:36:20.224985300Z,821,,
PILOT_INVALID_MULTI_STMT,gpt-4o,gpt-4o,v1.0,2,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,3,3,0,0,true,2026-06-03T15:36:21.046809600Z,661,,
PILOT_INVALID_MULTI_STMT,gpt-4o,gpt-4o,v1.0,3,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,3,3,0,0,true,2026-06-03T15:36:21.707940100Z,923,,
PILOT_MIXED_OPPORTUNITIES,gpt-4o,gpt-4o,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,5,-1,-1,true,2026-06-03T15:36:22.631407500Z,2583,,
PILOT_MIXED_OPPORTUNITIES,gpt-4o,gpt-4o,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,5,-1,-1,true,2026-06-03T15:36:25.215128900Z,1849,,
PILOT_MIXED_OPPORTUNITIES,gpt-4o,gpt-4o,v1.0,3,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,5,-1,-1,true,2026-06-03T15:36:27.064433Z,2561,,
PILOT_VALID_BOUNDS_CHECK,gpt-4o,gpt-4o,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,4,2,-2,-2,true,2026-06-03T15:36:29.631458300Z,1806,,
PILOT_VALID_BOUNDS_CHECK,gpt-4o,gpt-4o,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,4,2,-2,-2,true,2026-06-03T15:36:31.439154100Z,1473,,
PILOT_VALID_BOUNDS_CHECK,gpt-4o,gpt-4o,v1.0,3,SUCCESS,"Refactorización correcta, coincide con baseline",true,4,2,-2,-2,true,2026-06-03T15:36:32.912600200Z,1689,,
PILOT_VALID_NESTED_IN_LOOP,gpt-4o,gpt-4o,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,4,-2,-2,true,2026-06-03T15:36:34.603285400Z,1438,,
PILOT_VALID_NESTED_IN_LOOP,gpt-4o,gpt-4o,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,4,-2,-2,true,2026-06-03T15:36:36.042209700Z,1876,,
PILOT_VALID_NESTED_IN_LOOP,gpt-4o,gpt-4o,v1.0,3,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,4,-2,-2,true,2026-06-03T15:36:37.918939700Z,1987,,
PILOT_VALID_NULL_CHECK,gpt-4o,gpt-4o,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-06-03T15:36:39.907521600Z,1685,,
PILOT_VALID_NULL_CHECK,gpt-4o,gpt-4o,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-06-03T15:36:41.592607200Z,2094,,
PILOT_VALID_NULL_CHECK,gpt-4o,gpt-4o,v1.0,3,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-06-03T15:36:43.687316700Z,1734,,
PILOT_VALID_SIMPLE,gpt-4o,gpt-4o,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-06-03T15:36:45.422216800Z,1497,,
PILOT_VALID_SIMPLE,gpt-4o,gpt-4o,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-06-03T15:36:46.920558500Z,1645,,
PILOT_VALID_SIMPLE,gpt-4o,gpt-4o,v1.0,3,SUCCESS,"Refactorización correcta, coincide con baseline",true,3,2,-1,-1,true,2026-06-03T15:36:48.565666600Z,1310,,
ANT_ANT_CLASS_LOADER_INITIALIZE_CLASS,gpt-4o,gpt-4o,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,7,4,-3,-3,true,2026-06-03T15:36:49.876303600Z,3435,,
ANT_ANT_CLASS_LOADER_INITIALIZE_CLASS,gpt-4o,gpt-4o,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,7,4,-3,-3,true,2026-06-03T15:36:53.314432400Z,3383,,
ANT_ANT_CLASS_LOADER_INITIALIZE_CLASS,gpt-4o,gpt-4o,v1.0,3,SUCCESS,"Refactorización correcta, coincide con baseline",true,7,4,-3,-3,true,2026-06-03T15:36:56.698695400Z,3957,,
ANT_AVAILABLE_EVAL,gpt-4o,gpt-4o,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,18,17,-1,-1,true,2026-06-03T15:37:00.657047400Z,4173,,
ANT_AVAILABLE_EVAL,gpt-4o,gpt-4o,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,18,17,-1,-1,true,2026-06-03T15:37:04.830499400Z,3849,,
ANT_AVAILABLE_EVAL,gpt-4o,gpt-4o,v1.0,3,SUCCESS,"Refactorización correcta, coincide con baseline",true,18,17,-1,-1,true,2026-06-03T15:37:08.680975Z,3302,,
ANT_CONCAT_FILTER_READ,gpt-4o,gpt-4o,v1.0,1,REFUSED,Rechazo incorrecto: caso elegible según baseline,false,11,11,0,-2,false,2026-06-03T15:37:11.983416Z,610,Rechazo incorrecto: caso elegible según baseline,
ANT_CONCAT_FILTER_READ,gpt-4o,gpt-4o,v1.0,2,REFUSED,Rechazo incorrecto: caso elegible según baseline,false,11,11,0,-2,false,2026-06-03T15:37:12.594149200Z,512,Rechazo incorrecto: caso elegible según baseline,
ANT_CONCAT_FILTER_READ,gpt-4o,gpt-4o,v1.0,3,REFUSED,Rechazo incorrecto: caso elegible según baseline,false,11,11,0,-2,false,2026-06-03T15:37:13.106788800Z,902,Rechazo incorrecto: caso elegible según baseline,
REAL_ANT_EXECUTE_TASK,gpt-4o,gpt-4o,v1.0,1,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,3,3,0,0,true,2026-06-03T15:37:14.009291Z,684,,
REAL_ANT_EXECUTE_TASK,gpt-4o,gpt-4o,v1.0,2,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,3,3,0,0,true,2026-06-03T15:37:14.694163400Z,445,,
REAL_ANT_EXECUTE_TASK,gpt-4o,gpt-4o,v1.0,3,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,3,3,0,0,true,2026-06-03T15:37:15.139242Z,446,,
ANT_HEAD_FILTER_HEAD_FILTER,gpt-4o,gpt-4o,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,4,-2,-2,true,2026-06-03T15:37:15.586115600Z,1592,,
ANT_HEAD_FILTER_HEAD_FILTER,gpt-4o,gpt-4o,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,4,-2,-2,true,2026-06-03T15:37:17.179951300Z,1460,,
