caseId,origin,description,eligible,discardReason,discardCategories,opportunitiesDetected,opportunitiesApplied,totalPasses,complexityBefore,complexityAfter,delta,methodSignature,observations
TUTOR_BCV_EZ_INJECTION_EXECUTE,tutor-test-corpus,Plug-in execute() de Bytecode Viewer; metodo diana del corpus de Saborido et al. 2022 (IEEE Access).,false,"Descartado por: SINGLE_STATEMENT_NOT_IF, OUTER_HAS_ELSE, OUTER_BLOCK_MULTIPLE_STATEMENTS",SINGLE_STATEMENT_NOT_IF;OUTER_HAS_ELSE;OUTER_BLOCK_MULTIPLE_STATEMENTS,0,0,0,131,131,0,void execute(List<ClassNode>),Sin oportunidades detectadas
TUTOR_BCV_RESOURCE_DECOMPILE_SAVE_ALL,tutor-test-corpus,Decompilacion masiva con cuadros de dialogo; metodo diana del corpus de Saborido et al. 2022.,false,"Descartado por: SINGLE_STATEMENT_NOT_IF, OUTER_BLOCK_MULTIPLE_STATEMENTS",SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS,0,0,0,79,79,0,void decompileSaveAll(),Sin oportunidades detectadas
TUTOR_BCV_RESOURCE_DECOMPILE_SAVE_OPENED,tutor-test-corpus,Variante de decompilacion solo sobre recursos abiertos; metodo diana del corpus de Saborido et al. 2022.,false,"Descartado por: SINGLE_STATEMENT_NOT_IF, OUTER_BLOCK_MULTIPLE_STATEMENTS",SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS,0,0,0,140,140,0,void decompileSaveOpenedOnly(),Sin oportunidades detectadas
TUTOR_JMETAL_EBES_READ_DATA_FILE,tutor-test-corpus,Parser de fichero de definicion EBE; metodo diana del corpus de Saborido et al. 2022.,false,"Descartado por: SINGLE_STATEMENT_NOT_IF, OUTER_BLOCK_MULTIPLE_STATEMENTS",SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS,0,0,0,126,126,0,void EBEsReadDataFile(String),Sin oportunidades detectadas
TUTOR_JMETAL_EBES_VARIABLE_POSITION,tutor-test-corpus,Calculo de posicion de variables; metodo diana del corpus de Saborido et al. 2022.,false,Descartado por: OUTER_HAS_ELSE,OUTER_HAS_ELSE,0,0,0,16,16,0,int Variable_Position(),Sin oportunidades detectadas
TUTOR_JMETAL_LZ09_OBJECTIVE,tutor-test-corpus,Funcion objetivo del benchmark LZ09; metodo diana del corpus de Saborido et al. 2022.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;OUTER_HAS_ELSE,1,1,1,42,39,-3,"void objective(List<Double>, List<Double>)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
TUTOR_FILEDROP_IS_DRAG_OK,tutor-test-corpus,FileDrop.isDragOk: bucle while + if anidado + || en condicion + if-for anidados — no elegible por OUTER_BLOCK_MULTIPLE_STATEMENTS y METHOD_CALL_IN_CONDITION,false,"Descartado por: SINGLE_STATEMENT_NOT_IF, OUTER_BLOCK_MULTIPLE_STATEMENTS",SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS,0,0,0,10,10,0,"boolean isDragOk(PrintStream, DropTargetDragEvent)",Sin oportunidades detectadas
TUTOR_FILEDROP_REMOVE,tutor-test-corpus,"FileDrop.remove: if-else exterior + if-else interior con && + for — no elegible por OUTER_HAS_ELSE, OUTER_BLOCK_MULTIPLE_STATEMENTS, INNER_HAS_ELSE, METHOD_CALL_IN_CONDITION",false,Descartado por: OUTER_HAS_ELSE,OUTER_HAS_ELSE,0,0,0,9,9,0,"boolean remove(PrintStream, Component, boolean)",Sin oportunidades detectadas
TUTOR_CYBERCAPTOR_VERTEX_GET_RELATED_MACHINE,tutor-paper-corpus,Vertex de grafo de ataque; busca la maquina referenciada segun el tipo de hecho DATALOG.,true,,SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,52,38,-14,InformationSystemHost getRelatedMachine(InformationSystem),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
TUTOR_MOEA_COMMAND_LINE_GET_CONSOLE_WIDTH,tutor-paper-corpus,Detecta el ancho de consola en Linux/Mac con stty; patron elegible:,true,,SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,15,11,-4,int getConsoleWidth(),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
TUTOR_IOTBROKER_AMQP_PROCESS_SASL_OUTCOME,tutor-paper-corpus,Procesador de resultado SASL en cliente AMQP; patron elegible con if anidado sin llaves:,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,3,2,-1,"void processSASLOutcome(byte[], OutcomeCode)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
TUTOR_KNOWAGE_GEOSPATIAL_CHECK_VALUE,tutor-paper-corpus,Validador de valores geo-espaciales; patron elegible:,true,,OUTER_HAS_ELSE;SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS,2,2,2,20,14,-6,"boolean checkValue(Set, Object)",Pases hasta punto fijo: 2. Transformaciones aplicadas: 2. [Nota: se requirieron múltiples pases por anidamiento profundo]
