caseId,origin,description,eligible,discardReason,discardCategories,opportunitiesDetected,opportunitiesApplied,totalPasses,complexityBefore,complexityAfter,delta,methodSignature,observations
REAL_COMMONS_LANG_CHOMP,commons-lang-3.12.0,Método con patrón if-null + if-length + if-char — representativo de validación defensiva en StringUtils,false,"Descartado por: METHOD_CALL_IN_CONDITION, OUTER_BLOCK_MULTIPLE_STATEMENTS, SINGLE_STATEMENT_NOT_IF",METHOD_CALL_IN_CONDITION;OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,0,0,0,6,6,0,String chomp(String),Sin oportunidades detectadas
REAL_COMMONS_LANG_IS_NUMERIC,commons-lang-3.12.0,Método con if-null + if-longitud + for + if-dígito — patrón de recorrido con guarda,false,"Descartado por: METHOD_CALL_IN_CONDITION, OUTER_BLOCK_MULTIPLE_STATEMENTS, SINGLE_STATEMENT_NOT_IF",METHOD_CALL_IN_CONDITION;OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,0,0,0,10,10,0,boolean isNumeric(String),Sin oportunidades detectadas
REAL_COMMONS_COLLECTIONS_GET,commons-collections-4.4,Método con if-null sobre mapa + if-containsKey — patrón defensivo en MapUtils,false,"Descartado por: METHOD_CALL_IN_CONDITION, SINGLE_STATEMENT_NOT_IF",METHOD_CALL_IN_CONDITION;SINGLE_STATEMENT_NOT_IF,0,0,0,3,3,0,"Object getObject(java.util.Map<String, Object>, String)",Sin oportunidades detectadas
REAL_COMMONS_COLLECTIONS_ISEMPTY,commons-collections-4.4,Método con if-null + if-length sobre array — patrón elegible clásico de doble guarda,true,,SINGLE_STATEMENT_NOT_IF,1,1,1,3,2,-1,boolean hasElements(Object[]),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
REAL_COMMONS_MATH_CONVERGED,commons-math-3.6.1,Método con doble comprobación de convergencia — patrón elegible de rango numérico,true,,SINGLE_STATEMENT_NOT_IF,1,1,1,3,2,-1,"boolean hasConverged(double, double, double, double)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
REAL_COMMONS_MATH_VALIDATE_RANGE,commons-math-3.6.1,Método con if-else en outer — no elegible por P1 (rama else),false,"Descartado por: OUTER_HAS_ELSE, SINGLE_STATEMENT_NOT_IF",OUTER_HAS_ELSE;SINGLE_STATEMENT_NOT_IF,0,0,0,4,4,0,"String validateRange(double, double, double)",Sin oportunidades detectadas
REAL_ANT_EXECUTE_TASK,ant-1.10.12,Método con if anidado y múltiples sentencias en bloque externo — no elegible por P2,false,"Descartado por: OUTER_BLOCK_MULTIPLE_STATEMENTS, SINGLE_STATEMENT_NOT_IF",OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,0,0,0,3,3,0,"void executeTask(boolean, boolean, String)",Sin oportunidades detectadas
REAL_ANT_MATCH_PATH,ant-1.10.12,Método con if anidado triple — elegible parcial (P5 rechaza tercer nivel por method call),true,,METHOD_CALL_IN_CONDITION;SINGLE_STATEMENT_NOT_IF,1,1,1,6,4,-2,"boolean matchPath(String, String, boolean)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
REAL_COMMONS_LANG_CONTAINS_NONE,commons-lang-3.12.0,Método con if-null + if-null + for + for + if — patrón de búsqueda con doble iteración,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,1,1,1,15,11,-4,"boolean containsNone(String, char[])",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
REAL_COMMONS_LANG_MID,commons-lang-3.12.0,Método con if-null + if-límite + if-pos + if-length — patrón elegible parcial de substring seguro,true,,METHOD_CALL_IN_CONDITION;OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,1,1,1,10,7,-3,"String mid(String, int, int)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
