caseId,model,modelVersion,promptVersion,attemptNumber,verdict,verdictReason,parseable,complexityBefore,complexityAfter,delta,baselineDelta,matchesBaseline,executionTimestamp,responseTimeMs,validationErrors,observations
TRAP_P4_INNER_ELSE,gpt-4o,gpt-4o,v1.0,1,ERROR,"Error tecnico: no se obtuvo respuesta del modelo. Detalle: RuntimeException: OpenAI API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
",false,4,-1,0,0,false,2026-06-03T15:56:41.661179400Z,217,"RuntimeException: OpenAI API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
",
TRAP_P4_INNER_ELSE,gpt-4o,gpt-4o,v1.0,2,ERROR,"Error tecnico: no se obtuvo respuesta del modelo. Detalle: RuntimeException: OpenAI API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
",false,4,-1,0,0,false,2026-06-03T15:56:41.878584700Z,125,"RuntimeException: OpenAI API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
",
TRAP_P4_INNER_ELSE,gpt-4o,gpt-4o,v1.0,3,ERROR,"Error tecnico: no se obtuvo respuesta del modelo. Detalle: RuntimeException: OpenAI API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
",false,4,-1,0,0,false,2026-06-03T15:56:42.003596900Z,122,"RuntimeException: OpenAI API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
",
TRAP_P2_MULTI_STATEMENT,gpt-4o,gpt-4o,v1.0,1,ERROR,"Error tecnico: no se obtuvo respuesta del modelo. Detalle: RuntimeException: OpenAI API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
",false,3,-1,0,0,false,2026-06-03T15:56:42.127376300Z,127,"RuntimeException: OpenAI API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
",
TRAP_P2_MULTI_STATEMENT,gpt-4o,gpt-4o,v1.0,2,ERROR,"Error tecnico: no se obtuvo respuesta del modelo. Detalle: RuntimeException: OpenAI API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
",false,3,-1,0,0,false,2026-06-03T15:56:42.254907100Z,126,"RuntimeException: OpenAI API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
",
TRAP_P2_MULTI_STATEMENT,gpt-4o,gpt-4o,v1.0,3,ERROR,"Error tecnico: no se obtuvo respuesta del modelo. Detalle: RuntimeException: OpenAI API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
",false,3,-1,0,0,false,2026-06-03T15:56:42.381281200Z,123,"RuntimeException: OpenAI API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
",
TRAP_P5_ASSIGNMENT,gpt-4o,gpt-4o,v1.0,1,ERROR,"Error tecnico: no se obtuvo respuesta del modelo. Detalle: RuntimeException: OpenAI API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
",false,3,-1,0,0,false,2026-06-03T15:56:42.504585100Z,125,"RuntimeException: OpenAI API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
",
TRAP_P5_ASSIGNMENT,gpt-4o,gpt-4o,v1.0,2,ERROR,"Error tecnico: no se obtuvo respuesta del modelo. Detalle: RuntimeException: OpenAI API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
",false,3,-1,0,0,false,2026-06-03T15:56:42.629728400Z,123,"RuntimeException: OpenAI API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
",
TRAP_P5_ASSIGNMENT,gpt-4o,gpt-4o,v1.0,3,ERROR,"Error tecnico: no se obtuvo respuesta del modelo. Detalle: RuntimeException: OpenAI API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
",false,3,-1,0,0,false,2026-06-03T15:56:42.752874100Z,123,"RuntimeException: OpenAI API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
",
TRAP_P4_INNER_ELSE,gpt-4.1,gpt-4.1,v1.0,1,ERROR,"Error tecnico: no se obtuvo respuesta del modelo. Detalle: RuntimeException: OpenAI API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
",false,4,-1,0,0,false,2026-06-03T15:56:42.876290900Z,126,"RuntimeException: OpenAI API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
",
