caseId,model,modelVersion,promptVersion,attemptNumber,verdict,verdictReason,parseable,complexityBefore,complexityAfter,delta,baselineDelta,matchesBaseline,executionTimestamp,responseTimeMs,validationErrors,observations
PILOT_INVALID_ELSE_BRANCH,gpt-4o,gpt-4o,v1.0,1,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,4,4,0,0,true,2026-06-12T06:44:24.045969500Z,0,,
PILOT_INVALID_ELSE_BRANCH,gpt-4o,gpt-4o,v1.0,2,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,4,4,0,0,true,2026-06-12T06:44:24.045969500Z,0,,
PILOT_INVALID_ELSE_BRANCH,gpt-4o,gpt-4o,v1.0,3,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,4,4,0,0,true,2026-06-12T06:44:24.045969500Z,0,,
PILOT_INVALID_METHOD_GUARD,gpt-4o,gpt-4o,v1.0,1,REFUSED,Rechazo incorrecto: caso elegible según baseline,false,3,3,0,-1,false,2026-06-12T06:44:24.045969500Z,0,Rechazo incorrecto: caso elegible según baseline,
PILOT_INVALID_METHOD_GUARD,gpt-4o,gpt-4o,v1.0,2,REFUSED,Rechazo incorrecto: caso elegible según baseline,false,3,3,0,-1,false,2026-06-12T06:44:24.045969500Z,0,Rechazo incorrecto: caso elegible según baseline,
PILOT_INVALID_METHOD_GUARD,gpt-4o,gpt-4o,v1.0,3,REFUSED,Rechazo incorrecto: caso elegible según baseline,false,3,3,0,-1,false,2026-06-12T06:44:24.045969500Z,0,Rechazo incorrecto: caso elegible según baseline,
PILOT_INVALID_MULTI_STMT,gpt-4o,gpt-4o,v1.0,1,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,3,3,0,0,true,2026-06-12T06:44:24.045969500Z,0,,
PILOT_INVALID_MULTI_STMT,gpt-4o,gpt-4o,v1.0,2,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,3,3,0,0,true,2026-06-12T06:44:24.045969500Z,0,,
PILOT_INVALID_MULTI_STMT,gpt-4o,gpt-4o,v1.0,3,SUCCESS,Rechazo correcto: caso inelegible según baseline,false,3,3,0,0,true,2026-06-12T06:44:24.045969500Z,0,,
PILOT_MIXED_OPPORTUNITIES,gpt-4o,gpt-4o,v1.0,1,PARTIAL,Reducción menor que baseline (delta=-1 vs baseline=-2),true,6,5,-1,-2,false,2026-06-12T06:44:24.045969500Z,0,,
PILOT_MIXED_OPPORTUNITIES,gpt-4o,gpt-4o,v1.0,2,PARTIAL,Reducción menor que baseline (delta=-1 vs baseline=-2),true,6,5,-1,-2,false,2026-06-12T06:44:24.045969500Z,0,,
PILOT_MIXED_OPPORTUNITIES,gpt-4o,gpt-4o,v1.0,3,PARTIAL,Reducción menor que baseline (delta=-1 vs baseline=-2),true,6,5,-1,-2,false,2026-06-12T06:44:24.045969500Z,0,,
PILOT_VALID_BOUNDS_CHECK,gpt-4o,gpt-4o,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,4,2,-2,-2,true,2026-06-12T06:44:24.045969500Z,0,,
PILOT_VALID_BOUNDS_CHECK,gpt-4o,gpt-4o,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,4,2,-2,-2,true,2026-06-12T06:44:24.045969500Z,0,,
PILOT_VALID_BOUNDS_CHECK,gpt-4o,gpt-4o,v1.0,3,SUCCESS,"Refactorización correcta, coincide con baseline",true,4,2,-2,-2,true,2026-06-12T06:44:24.045969500Z,0,,
PILOT_VALID_NESTED_IN_LOOP,gpt-4o,gpt-4o,v1.0,1,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,4,-2,-2,true,2026-06-12T06:44:24.045969500Z,0,,
PILOT_VALID_NESTED_IN_LOOP,gpt-4o,gpt-4o,v1.0,2,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,4,-2,-2,true,2026-06-12T06:44:24.062220800Z,0,,
PILOT_VALID_NESTED_IN_LOOP,gpt-4o,gpt-4o,v1.0,3,SUCCESS,"Refactorización correcta, coincide con baseline",true,6,4,-2,-2,true,2026-06-12T06:44:24.062918400Z,0,,
